ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"145.239.81.129","elite","AS16276","PL","OVH SAS","27","OVH Sp. z o. o","8008","socks4","3996","1","2023-10-18T20:04:54.034Z","100","4411","4411"
"51.83.252.13","elite","AS16276","PL","OVH SAS","27","OVH Sp. z o. o","8888","socks4","5087","1","2023-10-18T20:04:51.244Z","100","4372","4372"
"185.14.149.225","elite","AS61233","PL","Enformatel Sp. z o.o.","100","Enformatel Sp. z o.o","4145","socks4","4889","1","2023-10-18T20:04:31.737Z","100","4478","4484"
"188.68.236.126","elite","AS197226","PL","Sprint S.A","39","Sprint S.A.","3128","socks4","4799","91","2023-10-18T20:03:45.438Z","86","3751","4360"
"89.161.90.225","elite","AS39375","PL","Telekomunikacja Podlasie Sp. z o.o.","39","Telekomunikacja Podlasie sp. z o.o.","5678","socks4","4801","1","2023-10-18T20:03:33.140Z","100","4437","4452"
"85.222.67.66","elite","AS6830","PL","ASTER Sp. z o.o.","99","Aster Sp. z o.o.","5678","socks4","4300","1","2023-10-18T20:03:17.333Z","100","4335","4346"
"46.227.39.2","elite","AS51155","PL","TB Telecom Sp. z o. o.","39","Telemedian","1088","socks4","5000","1","2023-10-18T20:02:54.644Z","100","4282","4292"
"185.186.17.57","elite","AS57723","PL","Media Telekom Sp. z o.o.","53","Media Telekom Sp. z o.o","5678","socks4","4891","1","2023-10-18T20:02:51.641Z","96","4273","4432"
"91.198.137.31","elite","AS42927","PL","HOST1","84","Adrian Andreas Zajonz","3508","socks5","4996","3","2023-10-18T20:01:52.840Z","100","4486","4491"
"178.212.54.161","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","86","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","4193","1","2023-10-18T20:01:48.040Z","98","4314","4402"
