const_id,county_id,county_name,county_link
1,22500,Powiat zgorzelecki,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/22500
1,22600,Powiat złotoryjski,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/22600
1,26100,Miasto na prawach powiatu Jelenia Góra,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/26100
1,26200,Miasto na prawach powiatu Legnica,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/26200
