county_id,municipality_id,municipality_name,municipality_link
20100,20101,m. Bolesławiec,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/gm/20101
20100,20102,gm. Bolesławiec,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/gm/20102
20100,20103,gm. Gromadka,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/gm/20103
20100,20104,gm. Nowogrodziec,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/gm/20104
20100,20105,gm. Osiecznica,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/gm/20105
20100,20106,gm. Warta Bolesławiecka,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/gm/20106
